library	clone	state	dose	lineage	tech_rep	plex
WT1_t1	WT1	wild_type	0	parental_1	1	plex1
WT1_t2	WT1	wild_type	0	parental_1	2	plex2
HetEd1_t1	HetEd1	het_edit	1	ed_1	1	plex3
HetEd1_t2	HetEd1	het_edit	1	ed_1	2	plex1
HomEd1_t1	HomEd1	hom_edit	2	ed_1	1	plex2
HomEd1_t2	HomEd1	hom_edit	2	ed_1	2	plex3
HetRev1_t1	HetRev1	het_revertant	1	rev_1	1	plex1
HetRev1_t2	HetRev1	het_revertant	1	rev_1	2	plex2
HomRev1_t1	HomRev1	hom_revertant	0	rev_1	1	plex3
HomRev1_t2	HomRev1	hom_revertant	0	rev_1	2	plex1
WT2_t1	WT2	wild_type	0	parental_2	1	plex2
WT2_t2	WT2	wild_type	0	parental_2	2	plex3
HetEd2_t1	HetEd2	het_edit	1	ed_2	1	plex1
HetEd2_t2	HetEd2	het_edit	1	ed_2	2	plex2
HomEd2_t1	HomEd2	hom_edit	2	ed_2	1	plex3
HomEd2_t2	HomEd2	hom_edit	2	ed_2	2	plex1
HetRev2_t1	HetRev2	het_revertant	1	rev_2	1	plex2
HetRev2_t2	HetRev2	het_revertant	1	rev_2	2	plex3
HomRev2_t1	HomRev2	hom_revertant	0	rev_2	1	plex1
HomRev2_t2	HomRev2	hom_revertant	0	rev_2	2	plex2
WT3_t1	WT3	wild_type	0	parental_3	1	plex3
WT3_t2	WT3	wild_type	0	parental_3	2	plex1
HetEd3_t1	HetEd3	het_edit	1	ed_3	1	plex2
HetEd3_t2	HetEd3	het_edit	1	ed_3	2	plex3
HomEd3_t1	HomEd3	hom_edit	2	ed_3	1	plex1
HomEd3_t2	HomEd3	hom_edit	2	ed_3	2	plex2
HetRev3_t1	HetRev3	het_revertant	1	rev_3	1	plex3
HetRev3_t2	HetRev3	het_revertant	1	rev_3	2	plex1
HomRev3_t1	HomRev3	hom_revertant	0	rev_3	1	plex2
HomRev3_t2	HomRev3	hom_revertant	0	rev_3	2	plex3
