protein_id	baseline	true_per_allele_lfc	true_dominance	is_responder	is_target	is_knockout
PROT_0000	22.9056	0.0	0.0	False	False	False
PROT_0001	24.1327	0.0	0.0	False	False	False
PROT_0002	25.03	0.0	0.0	False	False	False
PROT_0003	24.7109	0.0	0.0	False	False	False
PROT_0004	22.3606	0.0	0.0	False	False	False
PROT_0005	23.1683	0.0	0.0	False	False	False
PROT_0006	25.0588	0.0	0.0	False	False	False
PROT_0007	21.4959	0.0	0.0	False	False	False
PROT_0008	21.4591	0.0	0.0	False	False	False
PROT_0009	24.532	0.0	0.0	False	False	False
PROT_0010	27.186	0.0	0.0	False	False	False
PROT_0011	15.5	0.0	0.0	False	False	False
PROT_0012	22.7561	0.021	0.0	True	False	False
PROT_0013	20.9784	0.0	0.0	False	False	False
PROT_0014	23.5804	0.0	0.0	False	False	False
PROT_0015	21.9399	0.0	0.0	False	False	False
PROT_0016	22.5855	0.0	0.0	False	False	False
PROT_0017	23.9389	0.0	0.0	False	False	False
PROT_0018	23.4365	0.0	0.0	False	False	False
PROT_0019	24.7413	0.0	0.0	False	False	False
PROT_0020	21.705	0.0	0.0	False	False	False
PROT_0021	20.5388	0.1848	0.0	True	False	False
PROT_0022	18.5378	0.0	0.0	False	False	False
PROT_0023	22.6593	0.0	0.0	False	False	False
PROT_0024	22.3414	0.0	0.0	False	False	False
PROT_0025	22.0314	0.0	0.0	False	False	False
PROT_0026	23.9177	0.0	0.0	False	False	False
PROT_0027	20.5943	0.0	0.0	False	False	False
PROT_0028	21.8848	0.0	0.0	False	False	False
PROT_0029	25.4197	0.0	0.0	False	False	False
PROT_0030	20.4594	0.0	0.0	False	False	False
PROT_0031	21.6272	0.0	0.0	False	False	False
PROT_0032	26.0574	0.0	0.0	False	False	False
PROT_0033	27.9067	0.0	0.0	False	False	False
PROT_0034	17.455	0.0	0.0	False	False	False
PROT_0035	19.6973	0.0	0.0	False	False	False
PROT_0036	22.9127	0.0	0.0	False	False	False
PROT_0037	23.1422	0.0	0.0	False	False	False
PROT_0038	22.6309	0.0	0.0	False	False	False
PROT_0039	22.7986	-0.5718	0.0	True	False	False
PROT_0040	16.6871	0.0	0.0	False	False	False
PROT_0041	21.4933	0.0	0.0	False	False	False
PROT_0042	27.0	-2.2	0.77	False	True	False
PROT_0043	20.6142	0.0	0.0	False	False	False
PROT_0044	24.9364	0.0	0.0	False	False	False
PROT_0045	21.8903	0.0	0.0	False	False	False
PROT_0046	23.5097	0.0	0.0	False	False	False
PROT_0047	21.3333	0.0	0.0	False	False	False
PROT_0048	25.5228	0.0	0.0	False	False	False
PROT_0049	16.4952	0.0	0.0	False	False	False
PROT_0050	24.4226	0.0	0.0	False	False	False
PROT_0051	21.3842	0.0	0.0	False	False	False
PROT_0052	21.829	0.0	0.0	False	False	False
PROT_0053	26.0318	0.7111	0.0	True	False	False
PROT_0054	20.7966	0.0	0.0	False	False	False
PROT_0055	25.0538	0.0	0.0	False	False	False
PROT_0056	20.8474	0.0	0.0	False	False	False
PROT_0057	25.1895	0.0	0.0	False	False	False
PROT_0058	24.2479	0.2643	0.0	True	False	False
PROT_0059	23.6805	-0.0335	0.0	True	False	False
PROT_0060	23.0511	0.0	0.0	False	False	False
PROT_0061	24.4886	0.0	0.0	False	False	False
PROT_0062	25.1031	0.0	0.0	False	False	False
PROT_0063	22.9888	0.3842	-0.2497	True	False	False
PROT_0064	25.0861	0.0	0.0	False	False	False
PROT_0065	20.0359	0.0	0.0	False	False	False
PROT_0066	20.9318	0.0	0.0	False	False	False
PROT_0067	23.5147	-0.3921	0.2548	True	False	False
PROT_0068	28.3328	0.0	0.0	False	False	False
PROT_0069	21.5671	0.0	0.0	False	False	False
PROT_0070	22.9548	0.0	0.0	False	False	False
PROT_0071	21.1791	0.0	0.0	False	False	False
PROT_0072	18.9192	0.0	0.0	False	False	False
PROT_0073	23.8804	0.0	0.0	False	False	False
PROT_0074	22.1062	0.0	0.0	False	False	False
PROT_0075	23.945	0.0	0.0	False	False	False
PROT_0076	19.7865	0.0	0.0	False	False	False
PROT_0077	23.0249	0.0	0.0	False	False	False
PROT_0078	23.5814	0.0	0.0	False	False	False
PROT_0079	16.3607	0.0	0.0	False	False	False
PROT_0080	25.1502	0.0	0.0	False	False	False
PROT_0081	22.8868	0.0	0.0	False	False	False
PROT_0082	22.952	0.0	0.0	False	False	False
PROT_0083	22.3395	0.0	0.0	False	False	False
PROT_0084	21.513	0.0	0.0	False	False	False
PROT_0085	23.7276	0.0	0.0	False	False	False
PROT_0086	18.8256	0.0	0.0	False	False	False
PROT_0087	23.721	0.0	0.0	False	False	False
PROT_0088	23.4951	0.0	0.0	False	False	False
PROT_0089	22.8526	0.0	0.0	False	False	False
PROT_0090	23.977	0.0	0.0	False	False	False
PROT_0091	26.3894	0.0	0.0	False	False	False
PROT_0092	23.3559	0.0	0.0	False	False	False
PROT_0093	19.6452	0.0	0.0	False	False	False
PROT_0094	20.2842	0.0	0.0	False	False	False
PROT_0095	20.9621	0.0	0.0	False	False	False
PROT_0096	19.68	0.0	0.0	False	False	False
PROT_0097	19.7403	0.0	0.0	False	False	False
